ID	Prob	Len	Word	Freq	Score
[304]	0.000452852	1	台	180	inf
[305]	0.000544521	1	临	187	inf
[306]	0.00077277	1	共	177	inf
[307]	0.000122447	1	攀	37	inf
[308]	0.000126266	1	玩	25	inf
[309]	2.85697e-005	1	扪	8	inf
[310]	8.73674e-005	1	萝	55	inf
[311]	0.000150534	1	省	34	inf
[312]	0.00046063	1	所	176	inf
[313]	0.000165269	1	历	56	inf
[314]	0.00054151	1	忽	165	inf
[315]	0.000181903	1	鸿	68	inf
[316]	9.99329e-005	1	值	13	inf
[317]	0.000422689	1	万	484	inf
[318]	0.000175712	1	羽	72	inf
[319]	7.82431e-005	1	超	16	inf
[320]	0.000504545	1	绝	153	inf
[321]	0.000596861	1	柳	224	inf
[322]	0.000404287	1	州	113	inf
[323]	4.99664e-005	1	粗	6	inf
[324]	0.000516756	1	疏	151	inf
[325]	6.43578e-005	1	郑	16	inf
[326]	0.000838731	1	诗	254	inf
[327]	2.36601e-005	1	扁	34	inf
[328]	0.000344825	1	舟	279	inf
[329]	0.000162381	1	钓	100	inf
[330]	0.000509841	1	曾	181	inf
[331]	0.00249746	1	时	779	inf
[332]	0.000450371	1	解	149	inf
[333]	0.000164576	1	追	28	inf
[334]	0.000164175	1	尤	22	inf
[335]	0.000893723	1	非	266	inf
[336]	0.000135766	1	治	23	inf
[337]	0.000178558	1	郡	35	inf
[338]	0.000394882	1	才	80	inf
[339]	0.000442283	1	鹤	132	inf
[340]	0.000169498	1	怨	48	inf
[341]	0.000172562	1	怪	44	inf
[342]	0.000806337	1	两	238	inf
[343]	3.56903e-005	1	鹑	4	inf
[344]	0.000997071	1	小	292	inf
[345]	2.14339e-005	1	啄	12	inf
[346]	0.000136588	1	粟	29	inf
[347]	0.0002631	1	肥	41	inf
[348]	0.00043943	1	沙	155	inf
[349]	0.00215027	1	寒	697	inf
[350]	0.00030049	1	栖	82	inf
[351]	0.000429244	1	定	113	inf
[352]	0.00118859	1	起	334	inf
[353]	0.000747774	1	向	270	inf
[354]	0.000545218	1	南	460	inf
[355]	0.000303249	1	折	100	inf
[356]	0.00097625	1	者	222	inf
[357]	0.000539236	1	随	189	inf
[358]	6.43241e-005	1	蜂	19	inf
[359]	0.000235029	1	蝶	62	inf
[360]	0.000689814	1	思	273	inf
[361]	5.73804e-005	1	量	18	inf
[362]	4.31944e-005	1	妨	30	inf
[363]	0.000293468	1	底	98	inf
[364]	0.000871008	1	事	425	inf
[365]	0.000196144	1	蕊	39	inf
[366]	8.58791e-005	1	续	19	inf
[367]	0.000304381	1	荒	94	inf
[368]	0.000111673	1	渔	101	inf
[369]	0.000202676	1	竞	39	inf
[370]	0.000157525	1	泊	38	inf
[371]	4.28711e-005	1	沽	13	inf
[372]	7.88518e-005	1	邀	18	inf
[373]	0.000757573	1	烟	398	inf
[374]	0.000793693	1	真	189	inf
[375]	0.000615496	1	乐	158	inf
[376]	0.000103463	1	壑	66	inf
[377]	0.00147859	1	亦	402	inf
[378]	0.000409442	1	安	224	inf
[379]	0.00016912	1	桂	69	inf
[380]	0.00094108	1	道	343	inf
[381]	0.00032174	1	偶	96	inf
[382]	0.000895824	1	之	180	inf
[383]	0.000367128	1	岁	272	inf
[384]	0.000852916	1	色	492	inf
[385]	0.000685343	1	醉	202	inf
[386]	0.000153982	1	痕	46	inf
[387]	0.000615731	1	边	227	inf
[388]	0.000662887	1	溪	376	inf
[389]	0.00125147	1	声	500	inf
[390]	0.000222582	1	枕	84	inf
[391]	0.000652306	1	旧	193	inf
[392]	0.001424	1	已	401	inf
[393]	0.000940207	1	别	272	inf
[394]	0.000302199	1	经	143	inf
[395]	0.000384714	1	村	129	inf
[396]	0.000454836	1	送	160	inf
[397]	0.000230612	1	佳	112	inf
[398]	0.000159254	1	乾	69	inf
[399]	1.42784e-005	1	坤	38	inf
[400]	0.00126944	1	老	398	inf
[401]	0.000560477	1	曲	152	inf
[402]	0.000339967	1	逐	81	inf
[403]	0.000171946	1	峡	43	inf
[404]	0.000555278	1	松	297	inf
[405]	0.000315036	1	径	123	inf
[406]	0.000447342	1	凉	192	inf
[407]	0.000294221	1	岭	83	inf
[408]	0.000470472	1	合	117	inf
[409]	0.000769376	1	西	375	inf
[410]	7.17703e-005	1	尖	11	inf
[411]	0.000524155	1	手	150	inf
[412]	0.00160637	1	新	413	inf
[413]	0.000142761	1	抽	19	inf
[414]	0.000466623	1	数	178	inf
[415]	0.000115158	1	寸	46	inf
[416]	0.000115711	1	条	62	inf
[417]	4.99736e-005	1	殷	30	inf
[418]	0.000144252	1	勤	59	inf
[419]	0.00112746	1	雨	751	inf
[420]	0.000709473	1	露	275	inf
[421]	5.02454e-005	1	霄	35	inf
[422]	0.000202979	1	乌	69	inf
[423]	0.000656487	1	衣	318	inf
[424]	0.000115363	1	巷	29	inf
[425]	0.000293656	1	燕	97	inf
[426]	8.14899e-005	1	矶	31	inf
[427]	0.000222238	1	川	93	inf
[428]	0.000415052	1	仍	63	inf
[429]	0.000331757	1	昔	127	inf
[430]	4.99884e-005	1	灶	10	inf
[431]	0.000626125	1	乱	143	inf
[432]	0.000136667	1	凭	55	inf
[433]	0.000339811	1	湖	238	inf
[434]	8.1829e-005	1	渺	44	inf
[435]	0.000371254	1	岸	121	inf
[436]	0.00059573	1	阴	238	inf
[437]	0.000237017	1	就	39	inf
[438]	0.000502912	1	残	148	inf
[439]	0.000360045	1	点	126	inf
[440]	0.000122259	1	絮	31	inf
[441]	0.000297248	1	伴	77	inf
[442]	0.00236056	1	去	658	inf
[443]	0.000492643	1	种	131	inf
[444]	0.000154273	1	莲	110	inf
[445]	0.00010572	1	巳	17	inf
[446]	0.000322337	1	没	65	inf
[447]	0.000223554	1	镜	86	inf
[448]	8.37491e-005	1	改	28	inf
[449]	0.000209671	1	帘	88	inf
[450]	0.000414213	1	垂	156	inf
[451]	9.2832e-005	1	幕	17	inf
[452]	0.000811188	1	半	228	inf
[453]	0.000301075	1	卷	87	inf
[454]	0.000651914	1	冷	140	inf
[455]	0.000268205	1	被	47	inf
[456]	0.00181066	1	为	726	inf
[457]	0.00021028	1	魂	54	inf
[458]	0.00136834	1	过	350	inf
[459]	3.01132e-005	1	潇	63	inf
[460]	9.33749e-005	1	湘	113	inf
[461]	0.000340371	1	步	103	inf
[462]	0.000329081	1	阳	334	inf
[463]	0.000311567	1	四	186	inf
[464]	2.14325e-005	1	悠	130	inf
[465]	0.000150112	1	哉	46	inf
[466]	0.000921776	1	莫	349	inf
[467]	0.000637783	1	黄	341	inf
[468]	0.000181889	1	昏	76	inf
[469]	0.000389751	1	会	97	inf
[470]	0.000959618	1	明	620	inf
[471]	0.000705014	1	少	195	inf
[472]	0.000121798	1	伯	29	inf
[473]	0.000593804	1	居	168	inf
[474]	7.14268e-005	1	螺	11	inf
[475]	5.71045e-005	1	纹	7	inf
[476]	0.000177877	1	彩	53	inf
[477]	3.56903e-005	1	奁	4	inf
[478]	0.000943079	1	犹	320	inf
[479]	0.0001565	1	施	29	inf
[480]	0.0014636	1	行	502	inf
[481]	0.000331519	1	惜	99	inf
[482]	0.000719347	1	轻	180	inf
[483]	0.000199028	1	离	153	inf
[484]	0.000456411	1	吹	277	inf
[485]	0.000180329	1	蒲	62	inf
[486]	7.92837e-005	1	苇	18	inf
[487]	0.000252482	1	丛	74	inf
[488]	0.000215673	1	及	77	inf
[489]	0.000808361	1	当	238	inf
[490]	0.000449032	1	早	120	inf
[491]	9.99564e-005	1	湛	23	inf
[492]	3.57014e-005	1	滓	6	inf
[493]	0.000385127	1	绕	81	inf
[494]	7.16205e-005	1	砌	13	inf
[495]	0.000109011	1	彻	20	inf
[496]	0.000340222	1	浪	99	inf
[497]	0.00228095	1	生	711	inf
[498]	0.000100149	1	萦	20	inf
[499]	3.57589e-005	1	纡	7	inf
[500]	0.000121718	1	支	43	inf
[501]	0.000691422	1	公	202	inf
[502]	0.000128512	1	销	21	inf
[503]	0.00025098	1	夏	68	inf
[504]	0.000418981	1	五	219	inf
[505]	0.000920736	1	晚	265	inf
[506]	0.000114226	1	宠	17	inf
[507]	0.00043689	1	悲	92	inf
[508]	0.000130898	1	扇	48	inf
[509]	0.000214176	1	恩	65	inf
[510]	0.000478252	1	寄	124	inf
[511]	0.000311254	1	聊	100	inf
[512]	0.000138041	1	题	31	inf
[513]	0.000112712	1	片	127	inf
[514]	0.000237096	1	接	48	inf
[515]	0.000486054	1	和	121	inf
[516]	7.14623e-005	1	戎	13	inf
[517]	0.00039579	1	汉	140	inf
[518]	9.28926e-005	1	妃	18	inf
[519]	8.85086e-005	1	亡	25	inf
[520]	0.000279574	1	吴	77	inf
[521]	0.000154452	1	越	38	inf
[522]	0.000131869	1	鬼	30	inf
[523]	0.000318339	1	妾	83	inf
[524]	0.00016418	1	赐	24	inf
[525]	0.000179633	1	臣	51	inf
[526]	0.000136498	1	孰	25	inf
[527]	0.000129342	1	受	45	inf
[528]	8.12889e-005	1	卢	16	inf
[529]	0.000107089	1	弓	17	inf
[530]	4.99664e-005	1	矢	6	inf
[531]	0.000215195	1	寿	49	inf
[532]	0.000175824	1	延	39	inf
[533]	0.000287271	1	理	65	inf
[534]	9.99329e-005	1	医	13	inf
[535]	0.000464391	1	死	108	inf
[536]	0.000235841	1	忧	58	inf
[537]	2.1442e-005	1	髓	5	inf
[538]	0.000173709	1	畏	48	inf
[539]	7.86808e-005	1	膏	25	inf
[540]	2.14142e-005	1	肓	2	inf
[541]	7.13816e-006	1	楞	3	1.42765e-005
[542]	1.42762e-005	1	伽	4	inf
[543]	4.28284e-005	1	择	5	inf
[544]	0.000121692	1	弟	40	inf
[545]	0.000114512	1	班	21	inf
[546]	0.000135689	1	宗	24	inf
[547]	0.000441652	1	宜	98	inf
[548]	0.000207568	1	宅	39	inf
[549]	0.000667398	1	馀	200	inf
[550]	0.000124426	1	韵	22	inf
[551]	7.13899e-005	1	舂	11	inf
[552]	0.000351159	1	容	114	inf
[553]	0.000298503	1	太	158	inf
[554]	5.71045e-005	1	辅	7	inf
[555]	0.000128696	1	严	32	inf
[556]	0.000682164	1	东	405	inf
[557]	9.29607e-005	1	京	31	inf
[558]	0.000967731	1	独	395	inf
[559]	4.37259e-005	1	汾	8	inf
[560]	0.000350407	1	亭	226	inf
[561]	0.00074053	1	名	236	inf
[562]	0.000251005	1	园	152	inf
[563]	0.000430242	1	直	101	inf
[564]	0.000466529	1	挂	84	inf
[565]	0.000150772	1	广	37	inf
[566]	0.000130083	1	陵	122	inf
[567]	0.000184779	1	禽	56	inf
[568]	0.000249927	1	雁	128	inf
[569]	0.000215255	1	乡	150	inf
[570]	0.000738882	1	闻	312	inf
[571]	3.58465e-005	1	蛩	13	inf
[572]	0.000160352	1	织	40	inf
[573]	0.000222824	1	妇	42	inf
[574]	0.00045221	1	笑	190	inf
[575]	0.000814779	1	语	242	inf
[576]	0.000764655	1	谁	589	inf
[577]	0.000468388	1	微	176	inf
[578]	0.00062288	1	度	138	inf
[579]	0.000510024	1	急	125	inf
[580]	0.000143152	1	洒	58	inf
[581]	0.00014488	1	斋	60	inf
[582]	0.000619862	1	散	133	inf
[583]	7.15665e-005	1	飙	14	inf
[584]	1.43054e-005	1	泠	48	inf
[585]	0.000503859	1	然	304	inf
[586]	0.000870888	1	金	369	inf
[587]	0.000236578	1	音	80	inf
[588]	6.42747e-005	1	箫	17	inf
[589]	4.29723e-005	1	韶	14	inf
[590]	0.000168834	1	衰	52	inf
[591]	0.000323377	1	渡	102	inf
[592]	0.000105923	1	赵	17	inf
[593]	0.000153181	1	围	29	inf
[594]	0.000390279	1	物	201	inf
[595]	0.000607467	1	常	147	inf
[596]	8.58852e-005	1	涛	53	inf
[597]	6.30468e-005	1	胆	13	inf
[598]	0.000327515	1	阁	101	inf
[599]	0.000175345	1	渚	49	inf
[600]	1.42871e-005	1	瀼	4	inf
[601]	0.000496131	1	怀	149	inf
[602]	1.4365e-005	1	郢	5	inf
[603]	0.000129689	1	唱	25	inf
[604]	0.000229465	1	枯	68	inf
[605]	9.74014e-005	1	杨	101	inf
[606]	0.00110275	1	大	285	inf
[607]	0.000170162	1	堤	50	inf
[608]	7.13816e-006	1	鸲	6	1.42764e-005
[609]	1.42762e-005	1	鹆	7	inf
[610]	4.99664e-005	1	窠	6	inf
[611]	0.000399202	1	使	104	inf
[612]	0.000142911	1	武	51	inf
[613]	0.000463358	1	王	160	inf
[614]	0.000340783	1	士	111	inf
[615]	0.000325534	1	俱	63	inf
[616]	0.000685766	1	学	132	inf
[617]	0.000200832	1	佛	65	inf
[618]	0.0005237	1	以	196	inf
[619]	4.99664e-005	1	财	6	inf
[620]	0.000245476	1	供	41	inf
[621]	0.00012715	1	费	25	inf
[622]	0.000153144	1	滩	41	inf
[623]	0.000165038	1	荡	68	inf
[624]	4.28863e-005	1	桨	17	inf
[625]	0.000171941	1	卿	39	inf
[626]	0.000514671	1	休	112	inf
[627]	0.000380567	1	恨	99	inf
[628]	0.000149824	1	津	42	inf
[629]	6.42426e-005	1	垄	8	inf
[630]	0.000311766	1	泥	62	inf
[631]	4.28284e-005	1	秧	5	inf
[632]	0.000180807	1	宽	33	inf
[633]	6.42772e-005	1	箔	14	inf
[634]	0.000456825	1	因	143	inf
[635]	0.000267191	1	最	69	inf
[636]	0.000842529	1	能	318	inf
[637]	0.000249241	1	教	88	inf
[638]	0.00142896	1	作	468	inf
[639]	0.000418639	1	便	84	inf
[640]	0.000254384	1	杀	70	inf
[641]	0.000274539	1	灯	148	inf
[642]	0.000103808	1	荆	28	inf
[643]	0.000585988	1	歌	213	inf
[644]	0.000240888	1	艳	51	inf
[645]	0.000291263	1	楚	113	inf
[646]	0.000158523	1	腰	50	inf
[647]	0.000266022	1	采	168	inf
[648]	0.000686847	1	从	257	inf
[649]	0.000114247	1	惯	19	inf
[650]	0.000361262	1	即	88	inf
[651]	0.000369898	1	乘	107	inf
